Correct name with authors,Family,Order,Superorder,"Group (Dicot, Monocot, Gymnosperm, Fern)",Sample reference code,"Life cycle habit (annual, biennial, perennial)","Plant growth habit (aquatic, forb, graminoid,  herbaceous vine, liana, shrub, tree)",Nearctic,Neotropic,Palearctic,Afrotropic,Indo-Malay,Australasia,Oceania,Number of Biogeographic Realms,Tropical and Subtropical Moist Broadleaf Forests,Tropical and Subtropical Dry Broadleaf Forests,Tropical and Subtropical Coniferous Forests,Temperate Broadleaf and Mixed Forests,Temperate Coniferous Forests,Boreal Forests/Taiga,"Tropical and Subtropical Grasslands, Savannas, and Shrublands","Temperate Grasslands, Savannas, and Shrublands",Flooded Grasslands and Savannas,Montane Grasslands and Shrublands,Tundra,"Mediterranean Forests, Woodlands, and Scrub",Deserts and Xeric Shrublands,Mangroves,Number of Biomes,C (%),S (%),R (%)
Hirtella americana L.,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,4,44.26,47.84,7.90
Hirtella ciliata Mart. & Zucc.,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,28.23,71.77,0.00
Hirtella racemosa Lam.,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,Pinho,perennial,tree,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4,30.57,68.98,0.45
Hirtella triandra Sw.,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31.35,53.07,15.58
Holcus lanatus L.,Poaceae,Poales,Lilianae,Monocot,Louault,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,20.06,28.82,51.13
Holcus mollis L.,Poaceae,Poales,Lilianae,Monocot,Díaz,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,24.03,21.53,54.43
Holosteum umbellatum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,annual,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,4,2.10,0.00,97.90
Homogyne alpina (L.) Cass.,Asteraceae,Asterales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,24.89,73.92,1.19
Homolepis longispicula (Döll) Chase,Poaceae,Poales,Lilianae,Monocot,Negreiros,perennial,graminoid,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,26.37,73.63,0.00
Honckenya peploides (L.) Ehrh.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,Kleyer,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,5.18,23.51,71.32
"Hopea dryobalanoides Miq., Sum.  ",Dipterocarpaceae,Malvales,Rosanae,Dicot,SJ Wright Pasoh,perennial,tree,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.64,60.36,0.00
Hordelymus europaeus (L.) Jess. ex Harz,Poaceae,Poales,Lilianae,Monocot,Kleyer,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,37.36,13.78,48.86
Hordeum distichon L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.05,5.60,50.34
Hordeum hexastichum L.,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,30.29,38.68,31.03
Hordeum marinum Huds.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,4,1.09,30.58,68.33
Hordeum murinum L. murinum,Poaceae,Poales,Lilianae,Monocot,Cerabolini/Pierce,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,19.47,26.05,54.48
Hordeum vulgare L.,Poaceae,Poales,Lilianae,Monocot,Kleyer,annual,graminoid,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,52.10,6.74,41.17
Horminum pyrenaicum L.,Lamiaceae,Lamiales,Asteranae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,51.27,15.45,33.28
Hornungia alpina (L.) O. Appel brevicaulis (Spreng.) O. Appel,Brassicaceae,Brassicales,Rosanae,Dicot,Cerabolini/Pierce,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.23,0.00,98.77
Hottonia palustris L.,Primulaceae,Ericales,Asteranae,Dicot,Cerabolini/Pierce,perennial,aquatic,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12.26,12.73,75.01
Houstonia longifolia Gaertn.,Rubiaceae,Gentianales,Asteranae,Dicot,Weiher,perennial,forb,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,5.33,31.45,63.22
Houstonia wrightii A. Gray,Rubiaceae,Gentianales,Asteranae,Dicot,Laughlin,perennial,forb,1,1,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,4,4.14,0.00,95.86
Humiriastrum diguense (Cuatrec.) Cuatrec.,Humiriaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.60,74.40,0.00
Huperzia selago (L.) Bernh. ex Schrank & Mart.,Lycopodiaceae,Lycopodiales,,Fern,Kleyer,perennial,forb,1,0,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,0.00,81.27,18.73
Hura crepitans L.,Euphorbiaceae,Malpighiales,Rosanae,Dicot,Wright,perennial,tree,1,1,0,0,0,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,1,0,6,52.99,33.64,13.37
Hyacinthoides non-scripta (L.) Chouard,Asparagaceae,Asparagales,Lilianae,Monocot,Díaz,perennial,forb,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,5,60.65,0.00,39.35
Hyalopoa pontica (Balansa) Tzvelev,Poaceae,Poales,Lilianae,Monocot,Soudzilovskaia,perennial,graminoid,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,13.13,38.53,48.33
