id,latitude,longitude,FT,LA,LDMC,SLA,S,C,R,Strategy,color,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
6040,55.66,13.4,86.75,428.0233911,211.6119531,28.5814865,26.48531789,18.31006651,55.2046156,R/CSR,#1F1F0E,77,60,26,6158,200,-29,229,151,23,157,2,674,68,36,21,201,121,190,163
6064,62.9513,18.2763,97.20863161,334.2284781,233.6943107,28.26812729,34.64202938,14.44462272,50.9133479,SR/CSR,#15240B,34,83,25,8612,206,-126,332,135,-32,147,-76,641,73,37,24,204,114,182,144
6069,62.9513,18.2763,100.2086316,404.0667207,215.9410734,22.29988277,32.24678555,19.82474837,47.92846607,R/CSR,#232208,34,83,25,8612,206,-126,332,135,-32,147,-76,641,73,37,24,204,114,182,144
6074,56.4573,16.1408,103.25,298.4425595,194.0221803,24.41370964,21.75316686,18.21871238,60.02812076,R/CSR,#1E1A11,78,63,25,6554,214,-31,245,158,21,164,-3,517,61,30,22,168,92,154,116
6076,55.6942,13.4504,111.5419649,161.6576018,259.1991787,21.19366754,49.64933866,9.255342851,41.09531849,SR,#080803,79,60,26,6153,202,-27,229,153,25,159,4,661,68,35,21,199,118,187,158
6086,58.9,11.2,97,184.8583693,270.4211395,19.99183951,52.92332444,10.04031494,37.03636063,SR,#0A0A53,71,54,22,6661,198,-41,239,82,13,159,-11,760,92,39,27,255,127,212,157
6108,55.7989,13.1206,61.5,630.1659927,90.75814145,50.00744507,0,21.97974552,78.02025448,R/CR,#280129,79,61,26,6180,203,-29,232,153,26,160,4,654,69,35,22,202,115,190,153
6151,55.6528,13.2244,86.75,329.704752,181.7804147,30.66255153,11.93626323,18.25011447,69.8136223,R/CR,#1F131A,80,61,26,6167,203,-26,229,154,26,160,5,642,67,34,22,195,113,184,152
6154,62.6422,17.7406,114.5419649,205.3009093,297.9734841,20.95593013,55.76192216,9.574371795,34.66370605,SR,#080C51,30,84,25,8336,198,-126,324,127,-33,139,-76,679,76,40,23,217,125,191,152
6177,62.6322,17.69,94.25,285.6971019,170.3687048,35.73602884,3.58558649,16.6718695,79.74254401,R/CR,#1B252D,29,84,25,8349,197,-129,326,126,-34,138,-78,682,77,40,23,219,125,193,152
6180,62.6322,17.6906,29.25,171.2725744,97.057589,71.36102302,0,8.564073719,91.43592628,R,#06014A,29,84,25,8349,197,-129,326,126,-34,138,-78,682,77,40,23,219,125,193,152
6184,62.8892,18.4522,96.20863161,263.6506366,245.621077,18.40071272,48.09461107,14.8313405,37.07404843,SR/CSR,#160754,34,82,24,8658,207,-126,333,136,-32,148,-76,635,73,37,25,202,112,180,143
6195,55.7708,14.1342,58.25,460.6978862,124.3845863,38.90179756,0,21.36363838,78.63636162,R/CR,#26012B,76,57,25,6136,199,-26,225,151,21,157,2,607,67,34,20,186,108,174,142
6209,62.8836,18.1842,105.25,196.5814027,283.2643857,19.88280367,55.06207995,10.01075115,34.92716891,SR,#0A0B52,31,82,24,8610,203,-129,332,132,-35,144,-79,660,75,38,24,210,117,188,148
6241,62.9614,18.3608,98.87529827,178.5220325,212.7761301,20.99917187,35.44501748,12.78514987,51.76983265,SR/CSR,#11260C,29,83,24,8699,203,-133,336,130,-38,143,-82,655,75,38,24,209,117,189,146
