id,Name,Country,Latitude (º),Longitude (º),Altitude (meters),drought_index,PC1,PC2,PC3,Group,Survival_insitu_Madrid,Survival_insitu_Tübingen
7411,Wl-0,GER,47.9299,10.8134,712,-0.000162271,0.0133861,-0.0150062,0.0163659,EEurope,0.2,0.875
7413,Wil-2,LTU,54.6833,25.3167,106,NA,0.0121151,0.0194771,0.0175012,EEurope,NA,NA
7415,Wu-0,GER,49.7878,9.9361,184,NA,0.0116552,-0.0112285,0.00735707,CEurope,NA,NA
7416,Yo-0,USA,37.45,-119.35,1964,NA,0.0108909,-0.0164393,-0.000128409,NEEurope,NA,NA
7417,Zu-0,SUI,47.3667,8.55,436,NA,0.00898736,-0.0233507,0.0136189,CEurope,NA,NA
7418,Zu-1,SUI,47.3667,8.55,436,NA,0.0115852,-0.0140924,0.0138779,EEurope,NA,NA
7419,Db-1,GER,50.3058,8.32213,295,NA,0.0125374,-0.0138499,0.00807223,CEurope,NA,NA
7424,Jl-3,CZE,49.2,16.6166,208,NA,0.0133844,-8.66E-05,0.016356,EEurope,NA,NA
7430,Nc-1,FRA,48.6167,6.25,221,NA,0.011846,-0.0176945,0.0124933,CEurope,NA,NA
7461,H55,CZE,49,15,526,NA,0.0121814,-0.00515462,-0.00686611,CEurope,NA,NA
7477,WAR,USA,41.7302,-71.2825,53,NA,0.0135992,-0.0084311,0.014127,CEurope,NA,NA
7514,RRS-7,USA,41.5609,-86.4251,222,NA,0.011242,-0.016496,0.00913485,EEurope,NA,NA
7516,VÌ´r2-1,SWE,55.58,14.334,0,NA,0.00954827,0.00068587,-0.0224455,SESweden,NA,NA
7520,Lp2-2,CZE,49.38,16.81,568,NA,0.0138082,0.00220761,0.0148835,EEurope,NA,NA
7521,Lp2-6,CZE,49.38,16.81,568,NA,0.0133413,-0.000832217,0.0134671,EEurope,NA,NA
7525,Rmx-A180,USA,42.036,-86.511,194,NA,0.0117158,-0.0253194,0.00504003,NEEurope,NA,NA
7717,KNO1.37,USA,41.273,-86.625,220,NA,0.0111345,-0.0186367,0.00720274,NEEurope,NA,NA
7947,PNA3.40,USA,42.0945,-86.3253,216,NA,0.011014,-0.0236244,0.00364986,NEEurope,NA,NA
8077,PT2.21,USA,41.3423,-86.7368,206,NA,0.0110685,-0.0198121,0.00617643,NEEurope,NA,NA
8132,RMX3.22,USA,42.036,-86.511,194,NA,0.011127,-0.0215676,0.00103901,NEEurope,NA,NA
8171,RMX4.118,USA,42.036,-86.511,194,NA,0.0116918,-0.0263349,0.00261672,NEEurope,NA,NA
8214,Gy-0,FRA,49,2,165,-5.49E-06,0.0100133,-0.0248369,0.000960259,NEEurope,0.5,0.714285714
8222,Lis-2,SWE,56.0328,14.775,2,NA,0.0107616,0.00453553,-0.00758702,SESweden,NA,NA
8227,THÌÐ,SWE,62.7989,17.9103,15,NA,0.00465896,0.0341419,-0.100964,NSweden,NA,NA
8230,Algutsrum,SWE,56.68,16.5,10,0.000120014,0.00841978,0.00203258,-0.0112755,SESweden,0.142857143,1
8231,BrÌ¦1-6,SWE,56.3,16,12,-0.000122292,0.0114738,-0.00111021,-0.00489114,SESweden,0.5,0.857142857
8234,Gul1-2,SWE,56.4606,15.8127,88,NA,0.0105649,-0.00193985,-0.0042673,SESweden,NA,NA
8235,Hod,CZE,48.8,17.1,157,NA,0.0131027,0.00332461,0.0130257,EEurope,NA,NA
8236,HSm,CZE,49.33,15.76,558,NA,0.0150812,-0.00272066,0.0155007,EEurope,NA,NA
8237,KÌ_vlinge-1,SWE,55.8,13.1,22,NA,0.0140008,-0.00789779,-0.00967732,SESweden,NA,NA
